,Home,Away,Date,Match,Squad,# Pl_Standard,Age_Standard,Poss_Standard,MP_Standard,Starts_Standard,Min_Standard,90s_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,PK_Standard,PKatt_Standard,CrdY_Standard,CrdR_Standard,xG_Standard,npxG_Standard,xAG_Standard,npxG+xAG_Standard,PrgC_Standard,PrgP_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,G+A-PK_Standard,xG_Standard,xAG_Standard,xG+xAG_Standard,npxG_Standard,npxG+xAG_Standard,# Pl_GK,MP_GK,Starts_GK,Min_GK,90s_GK,GA_GK,GA90_GK,SoTA_GK,Saves_GK,Save%_GK,W_GK,D_GK,L_GK,CS_GK,CS%_GK,PKatt_GK,PKA_GK,PKsv_GK,PKm_GK,Save%_GK,# Pl_AdvGK,90s_AdvGK,GA_AdvGK,PKA_AdvGK,FK_AdvGK,CK_AdvGK,OG_AdvGK,PSxG_AdvGK,PSxG/SoT_AdvGK,PSxG+/-_AdvGK,/90_AdvGK,Cmp_AdvGK,Att_AdvGK,Cmp%_AdvGK,Att (GK)_AdvGK,Thr_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Att_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Opp_AdvGK,Stp_AdvGK,Stp%_AdvGK,#OPA_AdvGK,#OPA/90_AdvGK,AvgDist_AdvGK,# Pl_Shooting,90s_Shooting,Gls_Shooting,Sh_Shooting,SoT_Shooting,SoT%_Shooting,Sh/90_Shooting,SoT/90_Shooting,G/Sh_Shooting,G/SoT_Shooting,Dist_Shooting,FK_Shooting,PK_Shooting,PKatt_Shooting,xG_Shooting,npxG_Shooting,npxG/Sh_Shooting,G-xG_Shooting,np:G-xG_Shooting,# Pl_Passing,90s_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,TotDist_Passing,PrgDist_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Ast_Passing,xAG_Passing,xA_Passing,A-xAG_Passing,KP_Passing,1/3_Passing,PPA_Passing,CrsPA_Passing,PrgP_Passing,# Pl_PassTypes,90s_PassTypes,Att_PassTypes,Live_PassTypes,Dead_PassTypes,FK_PassTypes,TB_PassTypes,Sw_PassTypes,Crs_PassTypes,TI_PassTypes,CK_PassTypes,In_PassTypes,Out_PassTypes,Str_PassTypes,Cmp_PassTypes,Off_PassTypes,Blocks_PassTypes,# PlG&SCreation,90sG&SCreation,SCAG&SCreation,SCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,GCAG&SCreation,GCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,# Pl_DefActions,90s_DefActions,Tkl_DefActions,TklW_DefActions,Def 3rd_DefActions,Mid 3rd_DefActions,Att 3rd_DefActions,Tkl_DefActions,Att_DefActions,Tkl%_DefActions,Lost_DefActions,Blocks_DefActions,Sh_DefActions,Pass_DefActions,Int_DefActions,Tkl+Int_DefActions,Clr_DefActions,Err_DefActions,# Pl_Possession,Poss_Possession,90s_Possession,Touches_Possession,Def Pen_Possession,Def 3rd_Possession,Mid 3rd_Possession,Att 3rd_Possession,Att Pen_Possession,Live_Possession,Att_Possession,Succ_Possession,Succ%_Possession,Tkld_Possession,Tkld%_Possession,Carries_Possession,TotDist_Possession,PrgDist_Possession,PrgC_Possession,1/3_Possession,CPA_Possession,Mis_Possession,Dis_Possession,Rec_Possession,PrgR_Possession,# Pl_PlayTime,Age_PlayTime,MP_PlayTime,Min_PlayTime,Mn/MP_PlayTime,Min%_PlayTime,90s_PlayTime,Starts_PlayTime,Mn/Start_PlayTime,Compl_PlayTime,Subs_PlayTime,Mn/Sub_PlayTime,unSub_PlayTime,PPM_PlayTime,onG_PlayTime,onGA_PlayTime,+/-_PlayTime,+/-90_PlayTime,onxG_PlayTime,onxGA_PlayTime,xG+/-_PlayTime,xG+/-90_PlayTime,# Pl_Misc,90s_Misc,CrdY_Misc,CrdR_Misc,2CrdY_Misc,Fls_Misc,Fld_Misc,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon_Misc,PKcon_Misc,OG_Misc,Recov_Misc,Won_Misc,Lost_Misc,Won%_Misc,Extraction Date
10,Newcastle Utd,Brentford,2025-04-02,Newcastle Utd Vs Brentford,Newcastle Utd,19,27.7,49.6,9,99,810,9.0,9,8,17,8,1,2,22,1,14.1,12.6,11.3,23.9,151,344,1.00,0.89,1.89,0.89,1.78,1.57,1.26,2.83,1.40,2.65,1,9,9,810,9.0,10,1.11,49,40,79.6,3,3,3,2,22.2,0,0,0,0,,1,9.0,10,0,0,0,1,12.8,0.27,+3.8,+0.43,22,92,23.9,204,57,30.9,32.8,74,39.2,36.6,128,8,6.3,18,2.00,15.0,19,9.0,9,111,32,28.8,12.33,3.56,0.07,0.25,15.4,4,1,2,14.1,12.6,0.11,-5.1,-4.6,19,9.0,3492,4330,80.6,59606,22273,1705,1948,87.5,1478,1660,89.0,270,548,49.3,8,11.3,9.2,-3.3,91,267,77,16,344,19,9.0,4330,3872,439,134,20,18,147,158,54,39,5,1,3492,19,85,19,9.0,209,23.22,149,22,9,11,14,4,18,2.00,14,1,1,0,1,1,19,9.0,156,95,66,65,25,84,157,53.5,73,119,38,81,74,230,178,10,19,49.6,9.0,5308,647,1937,2146,1271,223,5306,145,64,44.1,58,40.0,3205,16787,7919,151,89,56,111,112,3467,344,19,27.7,9,810,90,100,9.0,99,81,59,39,22,42,1.33,9,10,-1,-0.11,14.1,13.0,+1.1,+0.13,19,9.0,22,1,0,102,123,19,147,74,95,2,0,1,386,102,97,51.3,2024-11-03 19:29:38.853584
11,Newcastle Utd,Manchester Utd,2025-04-12,Newcastle Utd Vs Manchester Utd,Newcastle Utd,19,27.7,49.6,9,99,810,9.0,9,8,17,8,1,2,22,1,14.1,12.6,11.3,23.9,151,344,1.00,0.89,1.89,0.89,1.78,1.57,1.26,2.83,1.40,2.65,1,9,9,810,9.0,10,1.11,49,40,79.6,3,3,3,2,22.2,0,0,0,0,,1,9.0,10,0,0,0,1,12.8,0.27,+3.8,+0.43,22,92,23.9,204,57,30.9,32.8,74,39.2,36.6,128,8,6.3,18,2.00,15.0,19,9.0,9,111,32,28.8,12.33,3.56,0.07,0.25,15.4,4,1,2,14.1,12.6,0.11,-5.1,-4.6,19,9.0,3492,4330,80.6,59606,22273,1705,1948,87.5,1478,1660,89.0,270,548,49.3,8,11.3,9.2,-3.3,91,267,77,16,344,19,9.0,4330,3872,439,134,20,18,147,158,54,39,5,1,3492,19,85,19,9.0,209,23.22,149,22,9,11,14,4,18,2.00,14,1,1,0,1,1,19,9.0,156,95,66,65,25,84,157,53.5,73,119,38,81,74,230,178,10,19,49.6,9.0,5308,647,1937,2146,1271,223,5306,145,64,44.1,58,40.0,3205,16787,7919,151,89,56,111,112,3467,344,19,27.7,9,810,90,100,9.0,99,81,59,39,22,42,1.33,9,10,-1,-0.11,14.1,13.0,+1.1,+0.13,19,9.0,22,1,0,102,123,19,147,74,95,2,0,1,386,102,97,51.3,2024-11-03 19:29:38.853584
12,Newcastle Utd,Ipswich Town,2025-04-26,Newcastle Utd Vs Ipswich Town,Newcastle Utd,19,27.7,49.6,9,99,810,9.0,9,8,17,8,1,2,22,1,14.1,12.6,11.3,23.9,151,344,1.00,0.89,1.89,0.89,1.78,1.57,1.26,2.83,1.40,2.65,1,9,9,810,9.0,10,1.11,49,40,79.6,3,3,3,2,22.2,0,0,0,0,,1,9.0,10,0,0,0,1,12.8,0.27,+3.8,+0.43,22,92,23.9,204,57,30.9,32.8,74,39.2,36.6,128,8,6.3,18,2.00,15.0,19,9.0,9,111,32,28.8,12.33,3.56,0.07,0.25,15.4,4,1,2,14.1,12.6,0.11,-5.1,-4.6,19,9.0,3492,4330,80.6,59606,22273,1705,1948,87.5,1478,1660,89.0,270,548,49.3,8,11.3,9.2,-3.3,91,267,77,16,344,19,9.0,4330,3872,439,134,20,18,147,158,54,39,5,1,3492,19,85,19,9.0,209,23.22,149,22,9,11,14,4,18,2.00,14,1,1,0,1,1,19,9.0,156,95,66,65,25,84,157,53.5,73,119,38,81,74,230,178,10,19,49.6,9.0,5308,647,1937,2146,1271,223,5306,145,64,44.1,58,40.0,3205,16787,7919,151,89,56,111,112,3467,344,19,27.7,9,810,90,100,9.0,99,81,59,39,22,42,1.33,9,10,-1,-0.11,14.1,13.0,+1.1,+0.13,19,9.0,22,1,0,102,123,19,147,74,95,2,0,1,386,102,97,51.3,2024-11-03 19:29:38.853584
13,Newcastle Utd,Chelsea,2025-05-10,Newcastle Utd Vs Chelsea,Newcastle Utd,19,27.7,49.6,9,99,810,9.0,9,8,17,8,1,2,22,1,14.1,12.6,11.3,23.9,151,344,1.00,0.89,1.89,0.89,1.78,1.57,1.26,2.83,1.40,2.65,1,9,9,810,9.0,10,1.11,49,40,79.6,3,3,3,2,22.2,0,0,0,0,,1,9.0,10,0,0,0,1,12.8,0.27,+3.8,+0.43,22,92,23.9,204,57,30.9,32.8,74,39.2,36.6,128,8,6.3,18,2.00,15.0,19,9.0,9,111,32,28.8,12.33,3.56,0.07,0.25,15.4,4,1,2,14.1,12.6,0.11,-5.1,-4.6,19,9.0,3492,4330,80.6,59606,22273,1705,1948,87.5,1478,1660,89.0,270,548,49.3,8,11.3,9.2,-3.3,91,267,77,16,344,19,9.0,4330,3872,439,134,20,18,147,158,54,39,5,1,3492,19,85,19,9.0,209,23.22,149,22,9,11,14,4,18,2.00,14,1,1,0,1,1,19,9.0,156,95,66,65,25,84,157,53.5,73,119,38,81,74,230,178,10,19,49.6,9.0,5308,647,1937,2146,1271,223,5306,145,64,44.1,58,40.0,3205,16787,7919,151,89,56,111,112,3467,344,19,27.7,9,810,90,100,9.0,99,81,59,39,22,42,1.33,9,10,-1,-0.11,14.1,13.0,+1.1,+0.13,19,9.0,22,1,0,102,123,19,147,74,95,2,0,1,386,102,97,51.3,2024-11-03 19:29:38.853584
14,Newcastle Utd,Everton,2025-05-25,Newcastle Utd Vs Everton,Newcastle Utd,19,27.7,49.6,9,99,810,9.0,9,8,17,8,1,2,22,1,14.1,12.6,11.3,23.9,151,344,1.00,0.89,1.89,0.89,1.78,1.57,1.26,2.83,1.40,2.65,1,9,9,810,9.0,10,1.11,49,40,79.6,3,3,3,2,22.2,0,0,0,0,,1,9.0,10,0,0,0,1,12.8,0.27,+3.8,+0.43,22,92,23.9,204,57,30.9,32.8,74,39.2,36.6,128,8,6.3,18,2.00,15.0,19,9.0,9,111,32,28.8,12.33,3.56,0.07,0.25,15.4,4,1,2,14.1,12.6,0.11,-5.1,-4.6,19,9.0,3492,4330,80.6,59606,22273,1705,1948,87.5,1478,1660,89.0,270,548,49.3,8,11.3,9.2,-3.3,91,267,77,16,344,19,9.0,4330,3872,439,134,20,18,147,158,54,39,5,1,3492,19,85,19,9.0,209,23.22,149,22,9,11,14,4,18,2.00,14,1,1,0,1,1,19,9.0,156,95,66,65,25,84,157,53.5,73,119,38,81,74,230,178,10,19,49.6,9.0,5308,647,1937,2146,1271,223,5306,145,64,44.1,58,40.0,3205,16787,7919,151,89,56,111,112,3467,344,19,27.7,9,810,90,100,9.0,99,81,59,39,22,42,1.33,9,10,-1,-0.11,14.1,13.0,+1.1,+0.13,19,9.0,22,1,0,102,123,19,147,74,95,2,0,1,386,102,97,51.3,2024-11-03 19:29:38.853584
15,Southampton,Everton,2024-11-02,Southampton Vs Everton,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
16,Southampton,Liverpool,2024-11-24,Southampton Vs Liverpool,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
17,Southampton,Chelsea,2024-12-04,Southampton Vs Chelsea,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
18,Southampton,Tottenham,2024-12-15,Southampton Vs Tottenham,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
19,Southampton,West Ham,2024-12-26,Southampton Vs West Ham,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
20,Southampton,Brentford,2025-01-04,Southampton Vs Brentford,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
21,Southampton,Newcastle Utd,2025-01-25,Southampton Vs Newcastle Utd,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
22,Southampton,Bournemouth,2025-02-15,Southampton Vs Bournemouth,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
23,Southampton,Brighton,2025-02-22,Southampton Vs Brighton,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
24,Southampton,Wolves,2025-03-15,Southampton Vs Wolves,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
25,Southampton,Crystal Palace,2025-04-02,Southampton Vs Crystal Palace,Southampton,28,26.0,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.90,2.07,1.08,1.98,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0,1,1,0,0,0.0,2,9.0,19,1,0,5,0,18.7,0.35,-0.3,-0.03,33,107,30.8,305,48,33.4,22.2,75,6.7,15.1,141,9,6.4,9,1.00,6.9,28,9.0,6,94,29,30.9,10.44,3.22,0.06,0.21,15.8,2,0,1,10.5,9.7,0.11,-4.5,-3.7,28,9.0,4319,5011,86.2,69495,21891,2168,2356,92.0,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300,28,9.0,5011,4610,390,123,14,16,122,122,42,24,9,0,4319,11,73,28,9.0,171,19.00,121,13,11,15,9,2,12,1.33,8,1,1,1,0,1,28,9.0,153,96,72,62,19,61,135,45.2,74,113,50,63,72,225,217,11,28,54.1,9.0,5981,785,2241,2523,1252,194,5980,151,59,39.1,78,51.7,3370,17636,9321,176,119,52,101,96,4283,297,28,26.0,9,810,90,100,9.0,99,80,55,43,23,38,0.11,6,19,-13,-1.44,10.5,19.6,-9.1,-1.01,28,9.0,29,2,0,104,114,11,122,72,96,1,1,0,284,78,83,48.4,2024-11-03 19:29:38.853584
